date,price
2025-01-02,100.0
2025-01-03,101.5
2025-01-06,102.0
2025-01-07,101.0
2025-01-08,103.0
2025-01-09,104.5
2025-01-10,105.0
2025-01-13,104.0
2025-01-14,103.5
2025-01-15,105.0
2025-01-16,106.5
2025-01-17,107.0
2025-01-20,108.0
2025-01-21,107.5
2025-01-22,109.0
2025-01-23,110.0
2025-01-24,111.5
2025-01-27,112.0
2025-01-28,111.0
2025-01-29,113.0
2025-01-30,114.5
2025-01-31,115.0
2025-02-03,114.0
2025-02-04,113.5
2025-02-05,115.0
2025-02-06,116.5
2025-02-07,117.0
2025-02-10,118.0
2025-02-11,117.5
2025-02-12,119.0
2025-02-13,120.0
2025-02-14,121.5
2025-02-17,122.0
2025-02-18,121.0
2025-02-19,123.0
2025-02-20,124.5
2025-02-21,125.0
2025-02-24,124.0
2025-02-25,123.5
2025-02-26,125.0
2025-02-27,126.5
2025-02-28,127.0
2025-03-03,128.0
2025-03-04,127.5
2025-03-05,129.0
2025-03-06,130.0
2025-03-07,131.5
2025-03-10,132.0
2025-03-11,131.0
2025-03-12,133.0
2025-03-13,134.5
2025-03-14,135.0
2025-03-17,134.0
2025-03-18,133.5
2025-03-19,135.0
2025-03-20,136.5
2025-03-21,137.0
2025-03-24,138.0
2025-03-25,137.5
2025-03-26,139.0
