date,price
2025-01-02,100.0000000000
2025-01-03,101.3474701449
2025-01-04,102.6404198585
2025-01-05,103.8267115138
2025-01-06,104.8588689529
2025-01-07,105.6961524227
2025-01-08,106.3063390978
2025-01-09,106.6671313722
2025-01-10,106.7671313722
2025-01-11,106.6063390978
2025-01-12,106.1961524227
2025-01-13,105.5588689529
2025-01-14,104.7267115138
2025-01-15,103.7404198585
2025-01-16,102.6474701449
2025-01-17,101.5000000000
2025-01-18,100.3525298551
2025-01-19,99.2595801415
2025-01-20,98.2732884862
2025-01-21,97.4411310471
2025-01-22,96.8038475773
2025-01-23,96.3936609022
2025-01-24,96.2328686278
2025-01-25,96.3328686278
2025-01-26,96.6936609022
2025-01-27,97.3038475773
2025-01-28,98.1411310471
2025-01-29,99.1732884862
2025-01-30,100.3595801415
2025-01-31,101.6525298551
2025-02-01,103.0000000000
2025-02-02,104.3474701449
2025-02-03,105.6404198585
2025-02-04,106.8267115138
2025-02-05,107.8588689529
2025-02-06,108.6961524227
2025-02-07,109.3063390978
2025-02-08,109.6671313722
2025-02-09,109.7671313722
2025-02-10,109.6063390978
2025-02-11,109.1961524227
2025-02-12,108.5588689529
2025-02-13,107.7267115138
2025-02-14,106.7404198585
2025-02-15,105.6474701449
2025-02-16,104.5000000000
2025-02-17,103.3525298551
2025-02-18,102.2595801415
2025-02-19,101.2732884862
2025-02-20,100.4411310471
2025-02-21,99.8038475773
2025-02-22,99.3936609022
2025-02-23,99.2328686278
2025-02-24,99.3328686278
2025-02-25,99.6936609022
2025-02-26,100.3038475773
2025-02-27,101.1411310471
2025-02-28,102.1732884862
2025-03-01,103.3595801415
2025-03-02,104.6525298551
2025-03-03,106.0000000000
2025-03-04,107.3474701449
2025-03-05,108.6404198585
2025-03-06,109.8267115138
2025-03-07,110.8588689529
2025-03-08,111.6961524227
2025-03-09,112.3063390978
2025-03-10,112.6671313722
2025-03-11,112.7671313722
2025-03-12,112.6063390978
2025-03-13,112.1961524227
2025-03-14,111.5588689529
2025-03-15,110.7267115138
2025-03-16,109.7404198585
2025-03-17,108.6474701449
2025-03-18,107.5000000000
2025-03-19,106.3525298551
2025-03-20,105.2595801415
2025-03-21,104.2732884862
2025-03-22,103.4411310471
2025-03-23,102.8038475773
2025-03-24,102.3936609022
2025-03-25,102.2328686278
2025-03-26,102.3328686278
2025-03-27,102.6936609022
2025-03-28,103.3038475773
2025-03-29,104.1411310471
2025-03-30,105.1732884862
2025-03-31,106.3595801415
2025-04-01,107.6525298551
