date,price
2025-01-02,100.0000000000
2025-01-03,101.0500000000
2025-01-04,101.8320508076
2025-01-05,102.1500000000
2025-01-06,101.9320508076
2025-01-07,101.2500000000
2025-01-08,100.3000000000
2025-01-09,99.3500000000
2025-01-10,98.6679491924
2025-01-11,98.4500000000
2025-01-12,98.7679491924
2025-01-13,99.5500000000
2025-01-14,100.6000000000
2025-01-15,101.6500000000
2025-01-16,102.4320508076
2025-01-17,102.7500000000
2025-01-18,102.5320508076
2025-01-19,101.8500000000
2025-01-20,100.9000000000
2025-01-21,99.9500000000
2025-01-22,99.2679491924
2025-01-23,99.0500000000
2025-01-24,99.3679491924
2025-01-25,100.1500000000
2025-01-26,101.2000000000
2025-01-27,102.2500000000
2025-01-28,103.0320508076
2025-01-29,103.3500000000
2025-01-30,103.1320508076
2025-01-31,102.4500000000
2025-02-01,101.5000000000
2025-02-02,100.5500000000
2025-02-03,90.8679491924
2025-02-04,99.6500000000
2025-02-05,99.9679491924
2025-02-06,100.7500000000
2025-02-07,101.8000000000
2025-02-08,102.8500000000
2025-02-09,103.6320508076
2025-02-10,103.9500000000
2025-02-11,103.7320508076
2025-02-12,103.0500000000
2025-02-13,102.1000000000
2025-02-14,101.1500000000
2025-02-15,100.4679491924
2025-02-16,100.2500000000
2025-02-17,100.5679491924
2025-02-18,101.3500000000
2025-02-19,102.4000000000
2025-02-20,103.4500000000
2025-02-21,104.2320508076
2025-02-22,104.5500000000
2025-02-23,104.3320508076
2025-02-24,103.6500000000
2025-02-25,102.7000000000
2025-02-26,101.7500000000
2025-02-27,101.0679491924
2025-02-28,90.8500000000
2025-03-01,101.1679491924
2025-03-02,101.9500000000
2025-03-03,103.0000000000
2025-03-04,104.0500000000
2025-03-05,104.8320508076
2025-03-06,105.1500000000
2025-03-07,104.9320508076
2025-03-08,104.2500000000
2025-03-09,103.3000000000
2025-03-10,102.3500000000
2025-03-11,101.6679491924
2025-03-12,101.4500000000
2025-03-13,101.7679491924
2025-03-14,102.5500000000
2025-03-15,103.6000000000
2025-03-16,104.6500000000
2025-03-17,105.4320508076
2025-03-18,105.7500000000
2025-03-19,105.5320508076
2025-03-20,104.8500000000
2025-03-21,103.9000000000
2025-03-22,102.9500000000
2025-03-23,94.2679491924
2025-03-24,102.0500000000
2025-03-25,102.3679491924
2025-03-26,103.1500000000
2025-03-27,104.2000000000
2025-03-28,105.2500000000
2025-03-29,106.0320508076
2025-03-30,106.3500000000
2025-03-31,106.1320508076
2025-04-01,105.4500000000
